This report was generated by CMPSPEC (version Apr 18 1996, 09:27:27)

66 peaks in TEST.DAT
173 peaks in ..\REFRSL\STRAIGHT.REF
---------------------------------------------------------------------------
           'TRUE' DATA          |         MEASURED DATA        |             
           STRAIGHT.REF         |         TEST.DAT             |
---------------------------------------------------------------------------
        E      |        A       |       E      |       A       |   Z-scores  
    val   unc  |   val    unc   |   val   unc  |   val     unc |  rep   ref
---------------------------------------------------------------------------
  1281.1   0.1 |    1190     7  | 1281.1   0.1 |    1155    47 | -0.7  -1.1
  1284.9   0.1 |      32     4  | 1284.9   0.1 |       0    18 |       -1.7
  1303.9   0.1 |      87     5  | 1303.9   0.1 |       0    25 |       -3.3
  1317.1   0.1 |      53     2  | 1317.1   0.1 |       0    12 |       -4.1
  1320.9   0.2 |      21     2  | 1320.9   0.2 |       0    12 |       -1.7
  1336.9   0.2 |      42     6  | 1336.9   0.2 |       0    28 |       -1.4
  1377.9   0.1 |    3126    56  | 1378.0   0.1 |    2953    65 | -2.0  -0.7
  1385.5   0.1 |     620     8  | 1385.6   0.1 |     635    34 |  0.4   0.4
  1401.8   0.1 |    1015     7  | 1401.8   0.1 |     985    40 | -0.7  -0.9
  1408.2   0.1 |    1832     9  | 1408.3   0.1 |    1810    54 | -0.4  -0.5
  1425.8   0.1 |     114     6  | 1426.0   0.1 |     153    28 |  1.3   1.3
  1461.1   0.1 |     166     7  | 1461.1   0.1 |       0    33 |       -4.8
  1479.3   0.1 |      45     5  | 1479.3   0.1 |       0    25 |       -1.7
  1509.5   0.1 |    1561    11  | 1509.6   0.1 |    1559    49 | -0.0  -0.0
  1535.9   0.2 |      35     4  | 1535.9   0.2 |       0    18 |       -1.8
  1539.0   0.1 |     328     5  | 1539.0   0.1 |     295    17 | -1.8  -1.4
  1543.7   0.1 |     228     4  | 1543.9   0.1 |     182    16 | -2.7  -2.1
  1583.6   0.1 |     487     7  | 1583.7   0.1 |     463    33 | -0.7  -0.7
  1595.2   0.1 |     181     4  | 1595.2   0.1 |       0    19 |       -9.1
  1599.7   0.1 |     214     4  | 1600.0   0.1 |     175    24 | -1.6  -2.0
  1608.3   0.2 |      44     5  | 1608.3   0.2 |       0    23 |       -1.8
  1657.1   0.1 |      25     2  | 1657.1   0.1 |       0    10 |       -2.4
  1661.8   0.1 |     673     4  | 1661.8   0.1 |     647    33 | -0.8  -1.4
  1684.5   0.1 |     136     4  | 1684.5   0.1 |       0    18 |       -7.2
  1693.0   0.1 |     101     5  | 1693.0   0.1 |       0    26 |       -3.7
  1694.5   0.1 |      78     5  | 1694.5   0.1 |       0    25 |       -2.9
  1730.2   0.1 |    1789    10  | 1730.2   0.1 |    1771    46 | -0.4  -0.4
  1765.1   0.1 |    9378    28  | 1765.2   0.1 |    9438   103 |  0.6   0.5
  1772.5   0.4 |      11     2  | 1772.5   0.4 |       0     9 |       -1.2
  1775.7   0.3 |      17     3  | 1775.7   0.3 |       0    14 |       -1.1
  1783.0   0.2 |      10     1  | 1783.0   0.2 |       0     4 |       -2.0
  1789.2   0.4 |       2     0  | 1789.2   0.4 |       0     2 |         -1
  1839.0   0.1 |     197     4  | 1839.1   0.1 |     189    20 | -0.4  -0.4
  1848.2   0.1 |    1195     8  | 1848.2   0.1 |    1123    37 | -1.9  -1.9
  1873.8   0.1 |     125     4  | 1874.0   0.1 |     142    16 |    1   0.9
  1891.0   0.1 |      41     1  | 1891.1   0.1 |      40    15 | -0.1  -0.1
  1896.8   0.1 |      84     2  | 1896.8   0.1 |       0    10 |       -8.1
  1899.5   0.1 |      34     1  | 1899.5   0.1 |       0     8 |       -3.8
  1936.8   0.2 |      59     7  | 1936.8   0.2 |       0    32 |       -1.8
  1938.5   0.2 |      36     6  | 1938.5   0.2 |       0    31 |       -1.1
  2011.8   0.1 |      22     2  | 2011.8   0.1 |       0    11 |       -1.8
  2022.6   0.2 |      11     2  | 2022.6   0.2 |       0    10 |       -1.0
  2053.8   0.1 |      39     1  | 2053.8   0.1 |       0     7 |       -4.9
  2060.3   0.3 |       5     0  | 2060.3   0.3 |       0     3 |       -1.6
  2090.6   0.2 |      21     2  | 2090.6   0.2 |       0    10 |       -1.9
  2110.9   0.1 |      40     2  | 2110.9   0.1 |       0    10 |       -3.8
  2119.6   0.1 |     593     6  | 2119.7   0.1 |     575    25 | -0.7  -0.7
  2193.7   0.1 |      16     2  | 2193.7   0.1 |       0     8 |       -1.7
  2205.2   0.1 |    2384    11  | 2205.3   0.1 |    2396    50 |  0.2   0.2
  2267.7   0.2 |       9     1  | 2267.7   0.2 |       0     4 |       -2.0
  2286.1   0.2 |       4     0  | 2286.1   0.2 |       0     3 |       -1.2
  2294.6   0.1 |     147     2  | 2294.6   0.2 |     129    12 | -1.4  -1.8
  2332.5   0.1 |      11     1  | 2332.5   0.1 |       0     4 |       -2.2
  2378.0   0.1 |       5     0  | 2378.0   0.1 |       0     4 |       -1.2
  2449.3   0.1 |     686     6  | 2449.4   0.2 |     653    26 | -1.2  -1.2
  2507.2   0.2 |       2     0  | 2507.2   0.2 |       0     1 |       -1.2
  2616.5   0.1 |      17     1  | 2616.5   0.1 |       0     4 |       -3.5
  2696.4   0.1 |      12     0  | 2696.4   0.1 |       0     4 |       -2.9
  2771.7   0.1 |       8     0  | 2771.7   0.1 |       0     3 |       -2.3
  2788.0   0.3 |       2     0  | 2788.0   0.3 |       0     2 |         -1
  2882.6   0.2 |       4     0  | 2882.6   0.2 |       0     2 |       -1.7
  2895.8   0.2 |       3     0  | 2895.8   0.2 |       0     2 |       -1.5
  2924.3   0.1 |       4     0  | 2924.3   0.1 |       0     2 |       -1.6
  2981.3   0.2 |       5     0  | 2981.3   0.2 |       0     2 |       -2.0
  3002.4   0.2 |       3     0  | 3002.4   0.2 |       0     2 |       -1.5
  3056.5   0.1 |       7     0  | 3056.5   0.1 |       0     2 |       -2.4
---------------------------------------------------------------------------

COMPARISON RESULTS FOR STRAIGHT.REF AND TEST.DAT

TRUE MATCHES
    Number of matches for high peaks: 47
      related chisqr for areas and reported uncertainty:  1.8 *
      and for reported areas with reference uncertainty:  2.3 *
    Number of matches for small peaks on high continuum: 6
      related chisqr for areas and reported uncertainty:  1.4
      and for reported areas with reference uncertainty:  1.4
    Number of matches for small peaks on low continuum: 4
      related chisqr for areas and reported uncertainty:  0.5
      and for reported areas with reference uncertainty:  0.6
  Number of non-511 matches all together: 57
    related chisqr for areas and reported uncertainty:  1.7 *
    and for reported areas with reference uncertainty:  2.0 *
    and the chisqr for their positions:   0.6 *

FITTING THE 511 keV PEAK
  Number of peaks found there: 1
    related chisqr:                   1074.3 *

MISSES AND FALSE HITS
  Number of misses: 113
    related chisqr:                    9.7 *
  Number of false hits: 0


TOTALS
  Number of considered peaks (ex 511): 170
    related chisqr for areas:          7.0 *


CONSTANTS USED:
  Second spectrum was counted 20.0 times shorter than the first.
  Threshold energy: 100.00 keV.
  Criteria for energy matching:
     E1 - E2  <  2 * sqrt(sqr(dE1) + sqr(dE2)) or
              <  0.5 * FWHM(E1).
  Criterion for high significance: A/ref_err > 10.
  Criterion for high continuum: 3.0 * net < gross.
  Criterion for annihilaton peak: |E - 511| < 3.0.
